index;macroprestazione;testo;cod_valoremedio_liquidazione;testo_pulito
33960;procedure clinico assistenziali;Gestione drenaggi;023T;gestione drenaggi
33961;Medicazione semplice;fasciature/bendaggi adesivi e elastici;023T;fasciaturebendaggi adesivi e elastici
33962;Monitoraggi e Misurazioni;Rilevazione parametri vitali;004T;rilevazione parametri vitali
33965;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie iniettive;019T;terapie iniettive
33967;Medicazioni Avanzate;medicazioni complesse;032T;medicazioni complesse
33968;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
33969;Medicazione semplice;FASCIATURE/BENDAGGI ADESIVI ED ELASTICI;022T;fasciaturebendaggi adesivi ed elastici
33971;procedure clinico assistenziali;terapia sottocutanea con addestramento;019T;terapia sottocutanea con addestramento
33972;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione CVC;007T;gestione cvc
33976;Educazione Sanitaria;educazione e counseling;122R;educazione e counseling
33977;Educazione Sanitaria;educazione e counselling;122R;educazione e counselling
33978;Educazione Sanitaria;educazione terapeutica;122R;educazione terapeutica
33980;procedure clinico assistenziali;gestione alvo;075T;gestione alvo
33981;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi;033T;prelievi venosi
33984;Educazione Sanitaria;supporto psicologico;169R;supporto psicologico
33988;procedure clinico assistenziali;gestione terapia sc, im, ev;019T;gestione terapia sc im ev
33991;procedure clinico assistenziali;Gestione alvo;080T;gestione alvo
33995;Educazione Sanitaria;Educazione terapeutica;122R;educazione terapeutica
33997;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
33999;procedure clinico assistenziali;cateterismi vescicali;065T;cateterismi vescicali
34015;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenose;016T;terapia endovenose
34016;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cateteri venosi centrali ( picc, midline, port- cath);016T;gestione cateteri venosi centrali  picc midline port cath
34017;procedure clinico assistenziali;Gestione sondino nasogastrici;055T;gestione sondino nasogastrici
34018;Educazione Sanitaria;Supporto caregiver;122R;supporto caregiver
34019;Educazione Sanitaria;Supporto al cergiver;122R;supporto al cergiver
34021;Medicazione semplice;Mediacazioni semplici;031T;mediacazioni semplici
34022;Educazione Sanitaria;Supporto relazionale;122R;supporto relazionale
34032;Medicazione semplice;Bendaggio;023T;bendaggio
34036;procedure clinico assistenziali;Terapia sottocutanea;019T;terapia sottocutanea
34038;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
34040;Medicazione semplice;Medicazioni ferite chirurgiche semplici e complicate;031T;medicazioni ferite chirurgiche semplici e complicate
34041;procedure clinico assistenziali;Gestione enterostomie;075T;gestione enterostomie
34043;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento accessi venosi periferici o sottocutanei;019T;posizionamento accessi venosi periferici o sottocutanei
34045;procedure clinico assistenziali;Terapia intramuscolo;019T;terapia intramuscolo
34047;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
34049;procedure clinico assistenziali;terapie sc, im;019T;terapie sc im
34051;Educazione Sanitaria;SUPPORTO AL CARE GIVER;122R;supporto al care giver
34052;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione nutrizioni parenterali;016T;gestione nutrizioni parenterali
34053;procedure clinico assistenziali;Clisma;080T;clisma
34054;procedure clinico assistenziali;terapia sottocutanea;019T;terapia sottocutanea
34055;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione catetere venosi periferici;016T;gestione catetere venosi periferici
34058;procedure clinico assistenziali;Gestione stomie;075T;gestione stomie
34060;procedure clinico assistenziali;gestione nutrizione parenterale/enterale;016T;gestione nutrizione parenteraleenterale
34061;procedure clinico assistenziali;Gestione Peg;055T;gestione peg
34062;Medicazione semplice;Medicazioni post chirurgiche;031T;medicazioni post chirurgiche
34064;procedure clinico assistenziali;Cateterismi vescicali;065T;cateterismi vescicali
34068;Medicazioni Avanzate;Medicazione lesioni chirurgiche;031T;medicazione lesioni chirurgiche
34070;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
34073;procedure clinico assistenziali;Terapia intramuscolare;019T;terapia intramuscolare
34075;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
34076;procedure clinico assistenziali;Gestione peg;055T;gestione peg
34078;procedure clinico assistenziali;Gestione sondini naso gastrico;055T;gestione sondini naso gastrico
34080;procedure clinico assistenziali;Terapia intramuscolare;019T;terapia intramuscolare
34084;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
34086;procedure clinico assistenziali;gestione cateteri vescicali;065T;gestione cateteri vescicali
34089;Monitoraggi e Misurazioni;rilevazione parametri vitali;004T;rilevazione parametri vitali
34092;procedure clinico assistenziali;Gestione nutrizione enterale e parenterale;016T;gestione nutrizione enterale e parenterale
34094;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
34095;Monitoraggi e Misurazioni;Verifiche parametri vitali e nutrizionali;004T;verifiche parametri vitali e nutrizionali
34098;procedure clinico assistenziali;Fleet;080T;fleet
34099;procedure clinico assistenziali;terapia iniettiva muscolare;019T;terapia iniettiva muscolare
34101;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc;007T;gestione picc
34102;Medicazione semplice;Medicazioni PICC;007T;medicazioni picc
34103;procedure clinico assistenziali;Bendaggi;023T;bendaggi
34105;procedure clinico assistenziali;terapia iniettiva intramuscolare;019T;terapia iniettiva intramuscolare
34107;Educazione Sanitaria;Supporto al caregiver;122R;supporto al caregiver
34108;Monitoraggi e Misurazioni;Controllo parametri vitali;004T;controllo parametri vitali
34109;procedure clinico assistenziali;clisma evacuativo;080T;clisma evacuativo
34110;procedure clinico assistenziali;gestione nutrizione clinica e peg;055T;gestione nutrizione clinica e peg
34113;procedure clinico assistenziali;Terapia intramuscolare o sottocutanea;019T;terapia intramuscolare o sottocutanea
34114;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Cvc;007T;cvc
34115;procedure clinico assistenziali;gestione della terapia intramuscolare;019T;gestione della terapia intramuscolare
34118;procedure clinico assistenziali;Terapia sottocutanea;019T;terapia sottocutanea
34119;procedure clinico assistenziali;Gestione alvo;075T;gestione alvo
34120;procedure clinico assistenziali;Clistere di pulizia;080T;clistere di pulizia
34121;procedure clinico assistenziali;Clisma evacuativo;080T;clisma evacuativo
34126;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
34127;Medicazione semplice;fasciatura;022T;fasciatura
34128;procedure clinico assistenziali;gestione cateteri venosi centrali;007T;gestione cateteri venosi centrali
34132;Monitoraggi e Misurazioni;Rilevazione parametri vitali;004T;rilevazione parametri vitali
34134;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
34135;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
34136;Educazione Sanitaria;Supporto psicologico;169R;supporto psicologico
34139;Educazione Sanitaria;educazione alimentare;140R;educazione alimentare
34141;procedure clinico assistenziali;Clisteri;080T;clisteri
34143;procedure clinico assistenziali;gestione stomie;075T;gestione stomie
34144;Educazione Sanitaria;Supporto relazionale al paziente e al caregiver;122R;supporto relazionale al paziente e al caregiver
34145;Educazione Sanitaria;Educazione alla salute e terapeutica;122R;educazione alla salute e terapeutica
34146;Educazione Sanitaria;Educazione gestione terapia;122R;educazione gestione terapia
34147;Medicazione semplice;Fasciature semplici;023T;fasciature semplici
34151;procedure clinico assistenziali;gestione alvo;075T;gestione alvo
34154;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
34157;Medicazione semplice;Bendaggio elastocompressivi;023T;bendaggio elastocompressivi
34160;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
34161;procedure clinico assistenziali;Enteroclismi;080T;enteroclismi
34169;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie venose;016T;terapie venose
34170;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo di sangue;033T;prelievo di sangue
34172;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;007T;gestione accessi venosi
34173;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc/midline;007T;gestione piccmidline
34177;procedure clinico assistenziali;Gestione Paz tracheotomia;045T;gestione paz tracheotomia
34179;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Medicazioni accessi venosi picc/midline;023T;medicazioni accessi venosi piccmidline
34181;procedure clinico assistenziali;Clisma evacuativi;080T;clisma evacuativi
34182;procedure clinico assistenziali;Terapia intramuscolo o sottocute;019T;terapia intramuscolo o sottocute
34183;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVI EMATICI;033T;prelievi ematici
34186;Medicazione semplice;medicazioni ferite chirurgiche;031T;medicazioni ferite chirurgiche
34188;Medicazione semplice;Medicazione ferita chirurgica;031T;medicazione ferita chirurgica
34190;procedure clinico assistenziali;Peg;055T;peg
34192;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
34194;procedure clinico assistenziali;Clismi evacuativi;080T;clismi evacuativi
34196;procedure clinico assistenziali;Gestione SNG;055T;gestione sng
34202;procedure clinico assistenziali;Clisma;080T;clisma
34205;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cvc e cvp;007T;gestione cvc e cvp
34208;procedure clinico assistenziali;GESTIONE NUTRIZIONE ENTERALE E PARENTERALE;017T;gestione nutrizione enterale e parenterale
34210;procedure clinico assistenziali;Gestione tracheo;045T;gestione tracheo
34213;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione port;007T;gestione port
34224;procedure clinico assistenziali;Clisma;080T;clisma
34234;Medicazioni Avanzate;MEDICAZIONE DRENAGGI;032T;medicazione drenaggi
34239;procedure clinico assistenziali;Intramuscolo;019T;intramuscolo
34241;procedure clinico assistenziali;Sottocute;019T;sottocute
34245;procedure clinico assistenziali;Gestione nutrizione parenterale;016T;gestione nutrizione parenterale
34247;Educazione Sanitaria;addestramento ai care giver;122R;addestramento ai care giver
34249;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
34259;procedure clinico assistenziali;Gestione PEG;055T;gestione peg
34260;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento CVP;029T;posizionamento cvp
34263;procedure clinico assistenziali;gestione terapia sottocute;019T;gestione terapia sottocute
34266;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
34269;procedure clinico assistenziali;gestione stomie;075T;gestione stomie
34271;Cure Palliative;Gestione terapia dolore;004T;gestione terapia dolore
34272;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Inserimento e gestione accessi venosi periferici;016T;inserimento e gestione accessi venosi periferici
34274;procedure clinico assistenziali;Fleet;080T;fleet
34276;procedure clinico assistenziali;Intramuscolo;019T;intramuscolo
34277;Medicazione semplice;gestione ferite chirugiche;031T;gestione ferite chirugiche
34280;procedure clinico assistenziali;Terapia intramuscolare e sottocutanea;019T;terapia intramuscolare e sottocutanea
34284;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
34293;procedure clinico assistenziali;Cateterismo;065T;cateterismo
34295;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
34300;Educazione Sanitaria;educazione del caregiver alla gestione di influsioni;122R;educazione del caregiver alla gestione di influsioni
34314;Medicazioni Avanzate;Piaghe da decubito;032T;piaghe da decubito
34315;procedure clinico assistenziali;Nutrizione parenterale;016T;nutrizione parenterale
34323;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Nutrizione parenterale;016T;nutrizione parenterale
34324;procedure clinico assistenziali;Aspirazione tracheale;045T;aspirazione tracheale
34333;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
34343;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
34351;procedure clinico assistenziali;Alimentazione peg;055T;alimentazione peg
34352;procedure clinico assistenziali;Gestione tracheostomia;045T;gestione tracheostomia
34364;procedure clinico assistenziali;Terapia iniettiva intramuscolare;019T;terapia iniettiva intramuscolare
34372;procedure clinico assistenziali;Gestione urostomia;105T;gestione urostomia
34377;procedure clinico assistenziali;Sostituzione catetere vescicale;065T;sostituzione catetere vescicale
34378;Medicazione semplice;Bendaggio / fasciature;023T;bendaggio  fasciature
34380;Medicazione semplice;Bendaggio e fasciatura;023T;bendaggio e fasciatura
34381;Medicazione semplice;Bendaggi vari;023T;bendaggi vari
34383;procedure clinico assistenziali;Bendaggi;023T;bendaggi
34386;procedure clinico assistenziali;Gestione nutrizione Enterale;017T;gestione nutrizione enterale
34396;procedure clinico assistenziali;Gestione alvo;075T;gestione alvo
34398;procedure clinico assistenziali;Gestione alvo;075T;gestione alvo
34399;Educazione Sanitaria;Educazione al caregiver;122R;educazione al caregiver
34400;procedure clinico assistenziali;Gestione cateterismo vescicale;065T;gestione cateterismo vescicale
34402;procedure clinico assistenziali;ecg;029T;ecg
34404;Educazione Sanitaria;educazione al care giver;122R;educazione al care giver
34405;Cure Palliative;monitoraggio del dolore;004T;monitoraggio del dolore
34406;Educazione Sanitaria;educazione caregiver;122R;educazione caregiver
34408;Medicazioni Avanzate;medicazioni ldp;032T;medicazioni ldp
34412;Educazione Sanitaria;educazione terapeutica;122R;educazione terapeutica
34415;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
34418;procedure clinico assistenziali;gestione cateterismo vescicale;065T;gestione cateterismo vescicale
34419;Educazione Sanitaria;educazione caregiver;122R;educazione caregiver
34423;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016T;terapia ev
34424;procedure clinico assistenziali;nutrizione parenterale;016T;nutrizione parenterale
34426;procedure clinico assistenziali;gestione stomie;075T;gestione stomie
