Macroprestazione;Note infermieristiche;Prestazione da nomenclatore;;;
procedure clinico assistenziali;Bendaggio elastocompressivo;017t;;;
;;;;;
procedure clinico assistenziali;sostituzione peg;017t;;;
;;;;;
;;;;;
Medicazioni Avanzate;Medicazione ulcere;017t;;;
procedure clinico assistenziali;gestione stomie e merdicazione;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Lavaggio porth a cath;017t;;;
Monitoraggi e Misurazioni;rilevazione parametri vitali;017t;;;
;;;;;
;;;;;
procedure clinico assistenziali;MOBILIZZAZIONE DI BASE;017t;;;
Educazione Sanitaria;Educazione pz e al caregiver;017t;;;
;;;;;
procedure clinico assistenziali;Gestione stomie;017t;;;
procedure clinico assistenziali;Gestione stomie;017t;;;
procedure clinico assistenziali;Gestione terapia enterale;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE PORT;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Emotrasfusioni;017t;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
altro;;;;;
altro;;;;;
procedure clinico assistenziali;Sostituzione sondino naso gastrico;017t;;;
;;;;;
;;;;;
;;;;;
;;;;;
procedure clinico assistenziali;POSIZIONAMENTO DEL SONDINO NASO GASTRICO;017t;;;
procedure clinico assistenziali;Gestione alvo;017t;;;
;;;;;
;;;;;
Medicazioni Avanzate;Terapia a pressione negativa (VAC);017t;;;
procedure clinico assistenziali;Gestione urostomie, colostomie;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione pompe infusionali;017t;;;
Medicazione semplice;Medicazione semplice;017t;;;
procedure clinico assistenziali;gestione e cambio stomie;017t;;;
procedure clinico assistenziali;Drenaggi;017t;;;
;;;;;
;;;;;
procedure clinico assistenziali;Gestione drenaggi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;017t;;;
procedure clinico assistenziali;Posizionamento sng;017t;;;
;;;;;
;;;;;
;;;;;
;;;;;
Medicazioni Avanzate;Medicazione ferite chirurgiche;017t;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
procedure clinico assistenziali;Gestione drenaggio;017t;;;
procedure clinico assistenziali;Sostituzione sondino naso-gastrico;017t;;;
;;017t;;;
procedure clinico assistenziali;Preparazione del paziente per le varie attività;017t;;;
;;;;;
;;;;;
procedure clinico assistenziali;Mobilizzazione;017t;;;
;;;;;
PAI, pianificazione, valutazione;rivalutazioni con chirurgo;017t;;;
Educazione Sanitaria;educazione sanitaria rivolta al care giver per la corretta mobilizzazione e utilizzo presidi;017t;;;
Cure Palliative;supporto al fine vita;017t;;;
;;;;;
procedure clinico assistenziali;Gestione stomia;017t;;;
procedure clinico assistenziali;gestione peg;017t;;;
Medicazioni Avanzate;Medicazioni;017t;;;
procedure clinico assistenziali;Gestione pac toracico;017t;;;
procedure clinico assistenziali;nutrizione enterale;017t;;;
Monitoraggi e Misurazioni;monitoraggio infermieristico;017t;;;
Medicazione semplice;Medicazioni cvc;017t;;;
;;;;;
procedure clinico assistenziali;terapia ev-im-sc;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE CVC;017t;;;
Educazione Sanitaria;educazione sanitaria;017t;;;
procedure clinico assistenziali;bendaggi;017t;;;
;;;;;
procedure clinico assistenziali;igiene;017t;;;
procedure clinico assistenziali;terapia sotto cute;017t;;;
;;;;;
Educazione Sanitaria;addestramento attività semplici care giver;017t;;;
;;;;;
Educazione Sanitaria;educazione e counselling;017t;;;
Educazione Sanitaria;consigli nutrizionali ,di mobilizzazione e aiuto nell' utilizzo dei presidi e addestramento;017t;;;
;;;;;
PAI, pianificazione, valutazione;visite congiunte con cure palliative;017t;;;
procedure clinico assistenziali;Terapie intramuscolari;017t;;;
Monitoraggi e Misurazioni;VALUTAZIONE DEL CARE GIVER;017t;;;
PAI, pianificazione, valutazione;setting;017t;;;
procedure clinico assistenziali;Terapia sottocutanea;017t;;;
Medicazioni Avanzate;Medicazioni lesioni da pressione;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVI VENOSI;017t;;;
procedure clinico assistenziali;Cateterismi;017t;;;
;;;;;
procedure clinico assistenziali;gestione alvo /enterostomie;017t;;;
Educazione Sanitaria;Supporto psicologico;017t;;;
procedure clinico assistenziali;Mobilizzazione;017t;;;
Medicazioni Avanzate;Medicazioni lesioni cutanee;017t;;;
Educazione Sanitaria;Prevenzione lesione da pressione , medicazioni;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;017t;;;
PAI, pianificazione, valutazione;Compilazione cc;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione cvc;017t;;;
Educazione Sanitaria;educazione terapeutica;017t;;;
Educazione Sanitaria;educazione terapeutica;017t;;;
Medicazioni Avanzate;medicazioni lesioni tumorali;017t;;;
;;;;;
;;;;;
Educazione Sanitaria;addestramento caregiver;017t;;;
;;;;;
;;;;;
procedure clinico assistenziali;Assistenza diretta;017t;;;
Educazione Sanitaria;Educazione;017t;;;
Monitoraggi e Misurazioni;Rilevazione parametri;017t;;;
procedure clinico assistenziali;igiene e mobilizzazione;017t;;;
procedure clinico assistenziali;Igiene personale;017t;;;
;;;;;
Educazione Sanitaria;Educazione sanitaria;017t;;;
Monitoraggi e Misurazioni;esami strumentali;017t;;;
;;;;;
Medicazioni Avanzate;medicazioni;017t;;;
procedure clinico assistenziali;Cateterismo;017t;;;
procedure clinico assistenziali;GESTIONE NUTRIZIONE PARENTERALE/GESTIONE CVC;017t;;;
;;;;;
Educazione Sanitaria;educazione terapeutica;017t;;;
procedure clinico assistenziali;mobilizzazione;017t;;;
procedure clinico assistenziali;sostegno ai care giver;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia sc;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia antibiotica;017t;;;
Educazione Sanitaria;addestramento;017t;;;
procedure clinico assistenziali;nutrizione parenterale;017t;;;
Cure Palliative;gestione elastomeri;017t;;;
procedure clinico assistenziali;gestione stomie;017t;;;
Medicazione semplice;fasciature e bendaggi;017t;;;
Educazione Sanitaria;educazione sanitaria e counselling;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;017t;;;
Educazione Sanitaria;educazione terapeutica;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione canule centrali;017t;;;
Educazione Sanitaria;Educazione terapeutica;017t;;;
Educazione Sanitaria;cunseling;017t;;;
Medicazioni Avanzate;medicazioni semplici/ complesse;017t;;;
altro;tutor studenti infermieri;017t;;;
Educazione Sanitaria;educazione sanitaria;017t;;;
;;;;;
Educazione Sanitaria;Prevenzione LDP;017t;;;
;;;;;
procedure clinico assistenziali;Cateterismo vescicale;017t;;;
procedure clinico assistenziali;Gestione cateteri venosi centrali;017t;;;
Educazione Sanitaria;Addestramento;017t;;;
;;;;;
procedure clinico assistenziali;Supporto ai care giver;017t;;;
Cure Palliative;gestione terapia del dolore;017t;;;
Educazione Sanitaria;addestramento familiari;017t;;;
Educazione Sanitaria;Addestramento delle badanti/famigliari terapia infusioale (sostituzione del flacone, chiusura circuito a fine infusione);017t;;;
Monitoraggi e Misurazioni;SORVEGLIANZA-MONITORAGGIO;017t;;;
;4;;;;
procedure clinico assistenziali;gestione alvo e enterostomie;017t;;;
Educazione Sanitaria;trasferimento competenze;017t;;;
Monitoraggi e Misurazioni;monitoraggio parametri vitali;017t;;;
procedure clinico assistenziali;Gestione diuresi, cateterizzazione su prescrizione;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione CVC;017t;;;
procedure clinico assistenziali;Gestione drenaggi;017t;;;
PAI, pianificazione, valutazione;Supporto visite o trasferimenti;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accesso venoso centrale;017t;;;
;;;;;
procedure clinico assistenziali;somministrazione di farmaci intramuscolari;017t;;;
;;;;;
PAI, pianificazione, valutazione;Interventi di supporto;017t;;;
procedure clinico assistenziali;Eparina;017t;;;
procedure clinico assistenziali;Terapia intramuscolare;017t;;;
procedure clinico assistenziali;Gestione colonstomie;017t;;;
Cure Palliative;Cure palliative;017t;;;
Cure Palliative;Terapia del dolore;017t;;;
procedure clinico assistenziali;Gestione sng;017t;;;
Medicazione semplice;Bendaggio;017t;;;
Educazione Sanitaria;Educazione gestione stomie;017t;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;017t;;;
procedure clinico assistenziali;Somministrazione Terapia Iniettiva;017t;;;
;;;;;
Educazione Sanitaria;Addestramento caregiver;017t;;;
PAI, pianificazione, valutazione;Compilazione cartella infermieristica;017t;;;
procedure clinico assistenziali;Gestione del dolore;017t;;;
;;;;;
procedure clinico assistenziali;Nutrizione parenterale;017t;;;
Cure Palliative;Cure palliative;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Ega;017t;;;
procedure clinico assistenziali;Clima evaquativo;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione  accessi venosi centrali  e periferici;017t;;;
procedure clinico assistenziali;Gestione tracheostomia;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestioni accessi venosi periferici;017t;;;
Educazione Sanitaria;addestramento TRACHEOSTOMIA;017t;;;
Medicazione semplice;Medicazioni chirurgiche e rimozione punti di sutura;017t;;;
procedure clinico assistenziali;Terapia intramuscolare;017t;;;
procedure clinico assistenziali;Gestione sig/peg;017t;;;
;;017t;;;
procedure clinico assistenziali;Gestione peg;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;ega;017t;;;
;;;;;
procedure clinico assistenziali;TERAPIE IM/SC;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie E.V;017t;;;
Medicazione semplice;MEDICAZIONE ACCESSI VASCOLARI;017t;;;
procedure clinico assistenziali;gestione alvo;017t;;;
procedure clinico assistenziali;terapie iniettive im;017t;;;
Educazione Sanitaria;Supporto care giver;017t;;;
Educazione Sanitaria;Formazione caregiver;017t;;;
PAI, pianificazione, valutazione;Consulenze infermieristiche;017t;;;
Educazione Sanitaria;educazione sanitaria;017t;;;
Educazione Sanitaria;Addestramento gestione alvo;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Nutrizione endovena;017t;;;
procedure clinico assistenziali;Gestione cateteri vescicali;017t;;;
procedure clinico assistenziali;Cura colonstomie;017t;;;
procedure clinico assistenziali;gestione cateteri vescicali;017t;;;
;;;;;
Medicazione semplice;Medicazioni chirurgiche;017t;;;
Medicazioni Avanzate;Medicazione drenaggi;017t;;;
;;;;;
procedure clinico assistenziali;Gestione sondino nasogastrico;017t;;;
procedure clinico assistenziali;Gestione stomia;017t;;;
procedure clinico assistenziali;Terapia sottocutanea;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva endovenosa;017t;;;
Medicazioni Avanzate;Medicazione piede diabetico;017t;;;
procedure clinico assistenziali;Gestione cateteri vescicali;017t;;;
Medicazione semplice;Medicazione accessi venosi centrali;017t;;;
procedure clinico assistenziali;Clisma evacuativo;017t;;;
Monitoraggi e Misurazioni;Rilevazione parametri vitali;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi periferici;017t;;;
;;;;;
;;;;;
Monitoraggi e Misurazioni;RILEVAZIONE PARAMETRI VITALI;017t;;;
procedure clinico assistenziali;Gestione stomie;017t;;;
Monitoraggi e Misurazioni;rilevazione PV del pz;017t;;;
procedure clinico assistenziali;iniezione di terapia insulinica;017t;;;
Monitoraggi e Misurazioni;rilevazione parametri vitali;017t;;;
Medicazione semplice;Medicazione delle ferite chirurgiche e rimozione punti di sutura;017t;;;
Educazione Sanitaria;psicoeducazione;017t;;;
Educazione Sanitaria;gestione educazione terapeutica e sanitaria;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione dispositivo ad infusione continua;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Porth;017t;;;
procedure clinico assistenziali;Clisma;017t;;;
;;;;;
Medicazione semplice;Bendaggi elastocompressivi;017t;;;
procedure clinico assistenziali;Gestione stomie;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia venosa;017t;;;
;;;;;
procedure clinico assistenziali;Terapia intramuscolare;017t;;;
Educazione Sanitaria;Educazione Infusione nutrizionale;017t;;;
procedure clinico assistenziali;Terapia sottocutanea;017t;;;
procedure clinico assistenziali;terapia iniettiva sottocutanea;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;inusione terapia venosa;017t;;;
Educazione Sanitaria;Educazione alla salute;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione terapia infusionale;017t;;;
PAI, pianificazione, valutazione;Visite multidisciplinari;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;accesi venosi;017t;;;
procedure clinico assistenziali;gestione alvo/stomie;017t;;;
procedure clinico assistenziali;Iniezioni I.M. /S.C.;017t;;;
Educazione Sanitaria;Educazione al care giver mobilizzazione e prevenIone;017t;;;
PAI, pianificazione, valutazione;Valutazione UVM;017t;;;
procedure clinico assistenziali;Peg;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione della terapia infusiva venosa;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione terapia infusionale;017t;;;
;;;;;
procedure clinico assistenziali;Terapia intramuscolare;017t;;;
Monitoraggi e Misurazioni;Rilevazione parametri;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;EGA;017t;;;
Medicazioni Avanzate;Medicazioni/ fasciature ulcere vascolari;017t;;;
;;;;;
Educazione Sanitaria;addestramento care giver;017t;;;
procedure clinico assistenziali;terapia sottocute;017t;;;
Educazione Sanitaria;Educazione care giver;017t;;;
procedure clinico assistenziali;Igiene personale si pazienti;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;inserimento ago cannula;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;017t;;;
;;;;;
Medicazioni Avanzate;Med traumatiche;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;017t;;;
;;;;;
PAI, pianificazione, valutazione;Lavoro di rete con altre figure professionali;017t;;;
PAI, pianificazione, valutazione;lavoro di rete con altre figure professionali;017t;;;
Educazione Sanitaria;Educazione al pz o al caregiver;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo venoso;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVO VENOSO;017t;;;
PAI, pianificazione, valutazione;verifica sulla condizione abitative;017t;;;
Educazione Sanitaria;Educazione al paziente e caregiver;017t;;;
procedure clinico assistenziali;Gestione cateteri vescicali;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione  accessi venosi centrali PORT e PICC;017t;;;
procedure clinico assistenziali;gestione tracheostomia;017t;;;
procedure clinico assistenziali;Gestione stomie;017t;;;
Educazione Sanitaria;Supporto relazionale pz/ caregivers;017t;;;
procedure clinico assistenziali;Gestione PEG;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione endovenose;017t;;;
Monitoraggi e Misurazioni;sorveglianza e sostegno dei minori in famiglia;017t;;;
procedure clinico assistenziali;Gestione dell’alvo;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venosi centali ( port- cath, picc, midline);017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali(picc,porth ecc);017t;;;
procedure clinico assistenziali;Gestione dei s.n.g peg;017t;;;
Educazione Sanitaria;Educazione sanitaria prevenzione lesioni da decubito;017t;;;
PAI, pianificazione, valutazione;contatto con il mmg;017t;;;
;;;;;
Educazione Sanitaria;Educazione somministrazione terapia;017t;;;
Medicazione semplice;Bendaggi arti inferiori;017t;;;
Educazione Sanitaria;Educazione al caregiver nelle varie situazioni;017t;;;
procedure clinico assistenziali;Gestione net;017t;;;
procedure clinico assistenziali;Gestione peg;017t;;;
;;;;;
Educazione Sanitaria;relazioni interpersonali con i colleghi;017t;;;
procedure clinico assistenziali;Gestione peg;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cateteri venosi centrali e periferici;017t;;;
;;;;;
;;;;;
Educazione Sanitaria;Promozione alla. Salute;017t;;;
procedure clinico assistenziali;Gestione storie.;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Inserimento cv periferici;017t;;;
procedure clinico assistenziali;terapia sottocutanea;017t;;;
procedure clinico assistenziali;Stomie;017t;;;
procedure clinico assistenziali;Stomie;017t;;;
;;;;;
PAI, pianificazione, valutazione;Schede valutazione autosufficienza;017t;;;
PAI, pianificazione, valutazione;Gestione e compilazione della documentazione: accertamento..scale di valutazione..;017t;;;
procedure clinico assistenziali;Gestione Paz con PEG;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi domiciliari;017t;;;
Medicazioni Avanzate;Medicazioni da ulcere vascolari;017t;;;
procedure clinico assistenziali;PREVENZIONE SALUTE;017t;;;
;;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione terapia venosa e sottocutanea;017t;;;
Educazione Sanitaria;supporto e collaborazione con i familiari;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Port;017t;;;
procedure clinico assistenziali;cateteri vescicali;017t;;;
procedure clinico assistenziali;Cateteri vescicali;017t;;;
procedure clinico assistenziali;Gestione tracheostomia;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;017t;;;
;;;;;
Medicazione semplice;Trattamento ferite chirurgiche;017t;;;
