index	macroprestazione	testo	testo_pulito	testo_corretto	cod_valoremedio_liquidazione	descr_cod_valoremedio_liquidazione
26225	procedure clinico assistenziali	somministrazione terapie ev im sc	somministrazione terapie ev im sc	somministrazione terapia endovena instramuscolare sottocute	017T	Somministrazione dei medicinali per via topica
26226	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi vascolari	gestione accessi vascolari	gestione accesso vascolare	017T	Somministrazione dei medicinali per via topica
26227	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Medicazione accessi venosi	medicazione accessi venosi	medicazione accesso venoso	017T	Somministrazione dei medicinali per via topica
26228	Monitoraggi e Misurazioni	Controllo parametri vitali	controllo parametri vitali	controllo parametri vitale	017T	Somministrazione dei medicinali per via topica
26229	procedure clinico assistenziali	lavaggio vescicale	lavaggio vescicale	lavaggio vescicale	017T	Somministrazione dei medicinali per via topica
26230	Medicazione semplice	bendaggi elastocompressivi	bendaggi elastocompressivi	bendaggio elastocompressivo	017T	Somministrazione dei medicinali per via topica
26232	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione e med Accessi centrali	gestione e med accessi centrali	gestione e med accesso centrale	017T	Somministrazione dei medicinali per via topica
26233	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	educazione sanitario	017T	Somministrazione dei medicinali per via topica
26234	procedure clinico assistenziali	Sostituzione di catetere vescicale	sostituzione di catetere vescicale	sostituzione di catetere vescicale	017T	Somministrazione dei medicinali per via topica
26236	PAI, pianificazione, valutazione	Costruire unalleanza con la famiglia se presente	costruire un alleanza con la famiglia se presente	costruire un allenza con la famiglia se presente	017T	Somministrazione dei medicinali per via topica
26237	Educazione Sanitaria	costruire allenza terapeutica con la famiglia se presente(cre giver)	costruire allenza terapeutica con la famiglia se presente cre giver 	costruire alleanza terapeutica con la famiglia se presente caregiver	017T	Somministrazione dei medicinali per via topica
26238	procedure clinico assistenziali	Somministrazione farmaci	somministrazione farmaci	somministrazione farmaco	017T	Somministrazione dei medicinali per via topica
26239	Educazione Sanitaria	supporto alle fasi della vita del pz e della famiglia	supporto alle fasi della vita del pz e della famiglia	supporto alle fase della vita del paziente e della famiglia	017T	Somministrazione dei medicinali per via topica
26240	Educazione Sanitaria	SUPPORTO ALLE VARIE FASI DELLA VITA PZ E FAMIGLIA	supporto alle varie fasi della vita pz e famiglia	supporto alle varie fase della vita paziente e famiglia	017T	Somministrazione dei medicinali per via topica
26241	Monitoraggi e Misurazioni	verifica stato di igiene	verifica stato di igiene	verifica stato di igiene	017T	Somministrazione dei medicinali per via topica
26242	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	gestione catetere vescicale	017T	Somministrazione dei medicinali per via topica
26243	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Inserimento cvp	inserimento cvp	inserimento catetere venoso periferico	017T	Somministrazione dei medicinali per via topica
26244	procedure clinico assistenziali	Gestione SNG	gestione sng	gestione sondino naso gastrico	017T	Somministrazione dei medicinali per via topica
26245	procedure clinico assistenziali	cateterismo vesc	cateterismo vesc	cateterismo vescicale	017T	Somministrazione dei medicinali per via topica
26246	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione Porth a Cath	gestione porth a cath	gestione port-a-cath a catetere	017T	Somministrazione dei medicinali per via topica
26247	procedure clinico assistenziali	Gestione stomie	gestione stomie	gestione stomie	017T	Somministrazione dei medicinali per via topica
26248	procedure clinico assistenziali	Gestione tracheostomia	gestione tracheostomia	gestione tracheostomia	017T	Somministrazione dei medicinali per via topica
26249	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accesso venoso periferico	gestione accesso venoso periferico	gestione accesso venoso periferico	017T	Somministrazione dei medicinali per via topica
26250	procedure clinico assistenziali	Gestione cateteri	gestione cateteri	gestione catetere	017T	Somministrazione dei medicinali per via topica
26251	procedure clinico assistenziali	sorveglianza e monitoraggio del'l assunzione dei farmaci farmaci	sorveglianza e monitoraggio del l assunzione dei farmaci farmaci	sorveglianza e monitoraggio del l assunzione dei farmaco farmaco	017T	Somministrazione dei medicinali per via topica
26252	PAI, pianificazione, valutazione	Cartella infermieristica territoriale	cartella infermieristica territoriale	cartella infermieristico territoriale	017T	Somministrazione dei medicinali per via topica
26253	procedure clinico assistenziali	gestione cateterismo vescicale ( inserimento, cambio)	gestione cateterismo vescicale   inserimento  cambio 	gestione cateterismo vescicale inserimento cambio	017T	Somministrazione dei medicinali per via topica
26254	procedure clinico assistenziali	Gestione cateterismo vescicale	gestione cateterismo vescicale	gestione cateterismo vescicale	017T	Somministrazione dei medicinali per via topica
26255	PAI, pianificazione, valutazione	Ordine della farmacia	ordine della farmacia	ordine della farmacia	017T	Somministrazione dei medicinali per via topica
26256	procedure clinico assistenziali	Gestione tracheostomie	gestione tracheostomie	gestione tracheostomia	017T	Somministrazione dei medicinali per via topica
26257	Educazione Sanitaria	educazione alimentare	educazione alimentare	educazione alimentare	017T	Somministrazione dei medicinali per via topica
26258	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accesso venoso (centrale e periferico)	gestione accesso venoso  centrale e periferico 	gestione accesso venoso centrale e periferico	017T	Somministrazione dei medicinali per via topica
26259	Educazione Sanitaria	Addestramento cura e igiene della persona	addestramento cura e igiene della persona	addestramento cura e igiene della persona	017T	Somministrazione dei medicinali per via topica
26260	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	gestione catetere vescicale	017T	Somministrazione dei medicinali per via topica
26261	procedure clinico assistenziali	Gestione nutrizione disfagia	gestione nutrizione disfagia	gestione nutrizione disfagia	017T	Somministrazione dei medicinali per via topica
26262	procedure clinico assistenziali	Posizionamento sng e gestione	posizionamento sng e gestione	posizionamento sondino naso gastrico e gestione	017T	Somministrazione dei medicinali per via topica
26263	procedure clinico assistenziali	gestione stomie intestinali	gestione stomie intestinali	gestione stomie intestinale	017T	Somministrazione dei medicinali per via topica
26264	Educazione Sanitaria	Educazione per gestione caterere	educazione per gestione caterere	educazione per gestione catetere	017T	Somministrazione dei medicinali per via topica
26265	PAI, pianificazione, valutazione	aiuto nella comunicazione con il medico specialista	aiuto nella comunicazione con il medico specialista	aiuto nella comunicazione con il medico specialista	017T	Somministrazione dei medicinali per via topica
26266	procedure clinico assistenziali	Gestione drenaggi	gestione drenaggi	gestione drenaggio	017T	Somministrazione dei medicinali per via topica
26267	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Infusioni ev	infusioni ev	infusione endovena	017T	Somministrazione dei medicinali per via topica
26270	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	educazione sanitario	017T	Somministrazione dei medicinali per via topica
26271	Medicazione semplice	Ferite chirurgi	ferite chirurgi	ferita chirurgo	017T	Somministrazione dei medicinali per via topica
26272	Cure Palliative	Incontro famiglia e palliativiste	incontro famiglia e palliativiste	incontro famiglia e palliativista	017T	Somministrazione dei medicinali per via topica
26273	procedure clinico assistenziali	gestione pz pneumologico	gestione pz pneumologico	gestione paziente pneumologico	017T	Somministrazione dei medicinali per via topica
26274	procedure clinico assistenziali	Drenaggi	drenaggi	drenaggio	017T	Somministrazione dei medicinali per via topica
26275	procedure clinico assistenziali	Peg	peg	gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26277	procedure clinico assistenziali	Gestione alvo	gestione alvo	gestione alvo	017T	Somministrazione dei medicinali per via topica
26278	PAI, pianificazione, valutazione	Indirizzare per richiesta presidi	indirizzare per richiesta presidi	indirizzare per richiesta presidi	017T	Somministrazione dei medicinali per via topica
26279	procedure clinico assistenziali	Gestione Paz con Sng	gestione paz con sng	gestione paziente con sondino naso gastrico	017T	Somministrazione dei medicinali per via topica
26281	procedure clinico assistenziali	Interazione con MMG	interazione con mmg	interazione con millimetri di mercurio	017T	Somministrazione dei medicinali per via topica
26283	procedure clinico assistenziali	Gestione cateteri vescicali	gestione cateteri vescicali	gestione catetere vescicale	017T	Somministrazione dei medicinali per via topica
26284	procedure clinico assistenziali	Gestione Clisma	gestione clisma	gestione clisma	017T	Somministrazione dei medicinali per via topica
26285	procedure clinico assistenziali	PROMOZIONE SALUTE	promozione salute	promozione salute	017T	Somministrazione dei medicinali per via topica
26288	procedure clinico assistenziali	clisteri	clisteri	clistere	017T	Somministrazione dei medicinali per via topica
26289	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	017T	Somministrazione dei medicinali per via topica
26290	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Midlain	midlain	midline	017T	Somministrazione dei medicinali per via topica
26291	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione e medicazioni accessi venosi  centrali	gestione e medicazioni accessi venosi  centrali	gestione e medicazione accesso venoso centrale	017T	Somministrazione dei medicinali per via topica
26292	procedure clinico assistenziali	Antibiotici fascia h	antibiotici fascia h	antibiotico fascia h	017T	Somministrazione dei medicinali per via topica
26293	procedure clinico assistenziali	Gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26294	Medicazione semplice	bendaggi compressivi	bendaggi compressivi	bendaggio compressivo	017T	Somministrazione dei medicinali per via topica
26295	Medicazioni Avanzate	medicazioni peg	medicazioni peg	medicazione gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26296	procedure clinico assistenziali	Gestione sng e peg	gestione sng e peg	gestione sondino naso gastrico e gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26298	procedure clinico assistenziali	Gestione nutrizione enterale	gestione nutrizione enterale	gestione nutrizione enterale	017T	Somministrazione dei medicinali per via topica
26299	procedure clinico assistenziali	terapia enterale	terapia enterale	terapia enterale	017T	Somministrazione dei medicinali per via topica
26300	procedure clinico assistenziali	Terapia IM SC	terapia im sc	terapia instramuscolare sottocute	017T	Somministrazione dei medicinali per via topica
26301	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi preiferici	gestione accessi venosi preiferici	gestione accesso venoso periferici	017T	Somministrazione dei medicinali per via topica
26302	procedure clinico assistenziali	Alimentazione enterale	alimentazione enterale	alimentazione enterale	017T	Somministrazione dei medicinali per via topica
26304	Medicazioni Avanzate	Medicazioni complesse	medicazioni complesse	medicazione complesso	017T	Somministrazione dei medicinali per via topica
26305	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi	gestione accessi venosi	gestione accesso venoso	017T	Somministrazione dei medicinali per via topica
26307	procedure clinico assistenziali	gestione alvo	gestione alvo	gestione alvo	017T	Somministrazione dei medicinali per via topica
